Date,Close
2024-11-19,146.9863433838
2024-11-20,145.8665313721
2024-11-21,146.6464080811
2024-11-22,141.927154541
2024-11-25,135.9981231689
2024-11-26,136.8979797363
2024-11-27,135.3182220459
2024-11-29,138.2277679443
2024-12-02,138.6076965332
2024-12-03,140.2374420166
2024-12-04,145.1166534424
2024-12-05,145.046661377
2024-12-06,142.4268951416
2024-12-09,138.7972259521
2024-12-10,135.0575866699
2024-12-11,139.2971801758
2024-12-12,137.3273620605
2024-12-13,134.2376556396
2024-12-16,131.9878540039
2024-12-17,130.3780059814
2024-12-18,128.898147583
2024-12-19,130.66796875
2024-12-20,134.6876068115
2024-12-23,139.6571502686
2024-12-24,140.2071075439
2024-12-26,139.9171295166
2024-12-27,136.9973907471
2024-12-30,137.477355957
2024-12-31,134.2776489258
2025-01-02,138.2972717285
2025-01-03,144.4567108154
2025-01-06,149.4162445068
2025-01-07,140.1271057129
2025-01-08,140.0971221924
2025-01-10,135.8975067139
2025-01-13,133.2177429199
2025-01-14,131.7478790283
2025-01-15,136.2274780273
2025-01-16,133.557723999
2025-01-17,137.6973419189
2025-01-21,140.8170471191
2025-01-22,147.0564880371
2025-01-23,147.2064666748
2025-01-24,142.6068725586
2025-01-27,118.4091033936
2025-01-28,128.9781494141
2025-01-29,123.688621521
2025-01-30,124.6385345459
2025-01-31,120.0589599609
2025-02-03,116.6492767334
2025-02-04,118.6390914917
2025-02-05,124.8185195923
2025-02-06,128.6681518555
2025-02-07,129.8280487061
2025-02-10,133.557723999
2025-02-11,132.7877960205
2025-02-12,131.1279449463
2025-02-13,135.277557373
2025-02-14,138.8372344971
2025-02-18,139.3871765137
2025-02-19,139.2171936035
2025-02-20,140.0971221924
2025-02-21,134.4176330566
2025-02-24,130.2680206299
2025-02-25,126.6183547974
2025-02-26,131.2679290771
2025-02-27,120.1389541626
2025-02-28,124.9085083008
2025-03-03,114.0495071411
2025-03-04,115.9793319702
2025-03-05,117.2892150879
2025-03-06,110.5598297119
2025-03-07,112.6796417236
2025-03-10,106.970161438
2025-03-11,108.75
2025-03-12,115.7399978638
2025-03-13,115.5800018311
2025-03-14,121.6699981689
2025-03-17,119.5299987793
2025-03-18,115.4300003052
2025-03-19,117.5199966431
2025-03-20,118.5299987793
2025-03-21,117.6999969482
2025-03-24,121.4100036621
2025-03-25,120.6900024414
2025-03-26,113.7600021362
2025-03-27,111.4300003052
2025-03-28,109.6699981689
2025-03-31,108.3799972534
2025-04-01,110.1500015259
2025-04-02,110.4199981689
2025-04-03,101.8000030518
2025-04-04,94.3099975586
2025-04-07,97.6399993896
2025-04-08,96.3000030518
2025-04-09,114.3300018311
2025-04-10,107.5699996948
2025-04-11,110.9300003052
2025-04-14,110.7099990845
2025-04-15,112.1999969482
2025-04-16,104.4899978638
2025-04-17,101.4899978638
2025-04-21,96.9100036621
2025-04-22,98.8899993896
2025-04-23,102.7099990845
2025-04-24,106.4300003052
2025-04-25,111.0100021362
2025-04-28,108.7300033569
2025-04-29,109.0199966431
2025-04-30,108.9199981689
2025-05-01,111.6100006104
2025-05-02,114.5
2025-05-05,113.8199996948
2025-05-06,113.5400009155
2025-05-07,117.0599975586
2025-05-08,117.3700027466
2025-05-09,116.6500015259
2025-05-12,123.0
2025-05-13,129.9299926758
2025-05-14,135.3399963379
2025-05-15,134.8300018311
2025-05-16,135.3999938965
